"Step","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX","Name: ppo_me_neg30p100 - Training/objective_proportion","Name: ppo_me_neg30p100 - Training/objective_proportion__MIN","Name: ppo_me_neg30p100 - Training/objective_proportion__MAX","Name: ppo_me30 - Training/objective_proportion","Name: ppo_me30 - Training/objective_proportion__MIN","Name: ppo_me30 - Training/objective_proportion__MAX"
"107","0.04320987654320988","0.03703703703703704","0.05555555555555557","0.07407407407407407","0.06481481481481481","0.08333333333333334","0.02777777777777778","0.00925925925925926","0.0462962962962963"
"108","0.04281345565749236","0.03669724770642202","0.055045871559633044","0.07339449541284403","0.06422018348623852","0.08256880733944955","0.027522935779816515","0.009174311926605505","0.045871559633027525"
"109","0.04242424242424244","0.03636363636363637","0.054545454545454564","0.07272727272727271","0.06363636363636363","0.08181818181818182","0.030303030303030307","0.009090909090909092","0.045454545454545456"
"110","0.04204204204204206","0.03603603603603604","0.05405405405405407","0.07507507507507506","0.06306306306306306","0.08108108108108109","0.030030030030030037","0.00900900900900901","0.04504504504504504"
"111","0.04166666666666668","0.03571428571428572","0.05357142857142859","0.0744047619047619","0.06249999999999999","0.08035714285714286","0.029761904761904767","0.00892857142857143","0.044642857142857144"
"112","0.041297935103244844","0.03539823008849558","0.05309734513274338","0.07374631268436578","0.06194690265486725","0.07964601769911506","0.029498525073746316","0.008849557522123895","0.04424778761061947"
"113","0.04093567251461989","0.03508771929824562","0.05263157894736844","0.07309941520467834","0.061403508771929814","0.07894736842105264","0.032163742690058485","0.017543859649122806","0.043859649122807015"
"114","0.04057971014492755","0.03478260869565218","0.05217391304347828","0.07246376811594202","0.06086956521739129","0.0782608695652174","0.03188405797101449","0.017391304347826087","0.043478260869565216"
"115","0.04022988505747128","0.03448275862068966","0.0517241379310345","0.07183908045977011","0.060344827586206885","0.07758620689655173","0.031609195402298854","0.017241379310344827","0.043103448275862065"
"116","0.03988603988603989","0.03418803418803419","0.0512820512820513","0.07122507122507121","0.05982905982905982","0.07692307692307693","0.03133903133903134","0.017094017094017092","0.04273504273504273"
